ano,id_municipio,municipio,desmatamento,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss,emprego,remuneracao_media,co2e
2021,2605608,Flores,486.1,192902000,10784000,182117000,15377000,17149000,48180000,101411000,1793,1683.898745119911,93609.47634818008
2021,2605707,Floresta,543.3,445213000,59602000,385612000,18941000,28615000,172521000,165535000,5048,1744.799714738508,51239.25007829002
2021,2605806,Frei Miguelinho,187.4,131441000,6018000,125423000,6491000,6612000,35307000,77013000,1079,1725.353827618165,65532.13390013005
2021,2605905,Gameleira,227.6,274258000,8461000,265797000,55530000,5669000,56880000,147718000,2317,1694.389788519637,52890.04206889994
2021,2606002,Garanhuns,401.9,3077112000,405252000,2671860000,104364000,308913000,1630539000,628044000,33172,1706.29573254551,530663.5258263699
2021,2606101,Glória do Goitá,194.9,554616000,61341000,493275000,41771000,154864000,147099000,149540000,3873,1886.871110250452,98561.58161157009
2021,2606200,Goiana,310.8,10662964000,2774177000,7888787000,247063000,5131372000,2017569000,492782000,30849,2362.225946384,263010.4133959498
2021,2606309,Granito,377.9,78432000,3138000,75294000,15881000,2907000,17138000,39368000,495,2077.203090909089,110901.56061986
2021,2606408,Gravatá,387.9,1359681000,141347000,1218334000,46950000,167548000,605845000,397991000,15419,1693.442926259807,191126.5574196
2021,2606507,Iati,490.8,195800000,6922000,188878000,46075000,3375000,41199000,98230000,1005,2065.316597014926,88702.83626641001
2021,2606606,Ibimirim,452.4,330119000,13788000,316331000,99352000,8579000,75392000,133008000,2112,1706.665298295454,207082.5516521901
2021,2606705,Ibirajuba,163.4,85527000,3184000,82343000,17815000,2186000,17772000,44570000,957,1483.80725182863,43697.91032675002
2021,2606804,Igarassu,186,3471427000,565673000,2905754000,65720000,1118978000,1156041000,565015000,31416,2020.336819773371,1367020.690434722
2021,2606903,Iguaraci,418.7,112369000,4795000,107574000,18880000,3305000,26011000,59377000,709,1941.036205923835,98612.65650969995
2021,2607000,Inajá,324.3,196880000,11818000,185062000,21351000,7336000,48665000,107711000,2010,1676.405174129355,101205.75430185
2021,2607109,Ingazeira,172.1,50497000,1591000,48907000,7080000,1506000,11102000,29218000,420,1847.968738095237,37012.92698605001
2021,2607208,Ipojuca,426.6,14929346000,3247090000,11682256000,189929000,7078373000,3544329000,869625000,45876,2654.722376841945,4416851.714840887
2021,2607307,Ipubi,492,340374000,20146000,320228000,17123000,68366000,88116000,146624000,2342,1891.775042698549,208616.8469415702
2021,2607406,Itacuruba,110.4,71286000,2326000,68960000,8434000,2303000,15873000,42351000,895,2093.61700558659,14877.50916516
2021,2607505,Itaíba,987.3,283413000,13860000,269553000,58431000,7146000,75347000,128630000,1365,2190.204798534801,185529.49327995
2021,2607604,Ilha de Itamaracá,25.4,299232000,18889000,280343000,7123000,25330000,111365000,136525000,2188,1972.069296160876,7515.536581440002
2021,2607653,Itambé,274,522657000,46279000,476378000,97936000,17690000,185377000,175375000,6155,1495.962908204713,116013.39716882
2021,2607703,Itapetim,201.7,139873000,5964000,133909000,18359000,5773000,37999000,71778000,1008,1827.811636904763,33794.44045359999
2021,2607752,Itapissuma,51.1,2383641000,506778000,1876862000,30023000,1129463000,550803000,166573000,7102,2872.704332582356,64313.88962831
2021,2607802,Itaquitinga,131.7,160857000,5341000,155515000,33642000,7539000,33463000,80872000,1046,1677.49103250478,28192.06562738999
2021,2607901,Jaboatão dos Guararapes,197.7,16133556000,3307783000,12825773000,92991000,2312757000,7568042000,2851983000,136537,1939.047682972395,1398539.90058906
2021,2607950,Jaqueira,70.9,111801000,4188000,107613000,8838000,3524000,26019000,69232000,1703,1506.45369935408,26896.10638416999
2021,2608008,Jataúba,242.6,154862000,7289000,147573000,12988000,4096000,41388000,89101000,1350,2094.822622222219,60174.74000817002
